video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=ehkpFajZ-aM&pp=ygUQY2FyYm9uIGZvb3RwcmludA%3D%3D,/@OurChangingClimate,Our Changing Climate,Why your Carbon Footprint is a scam (ft. @ClimateTown),156K,5 years,"Why your carbon footprint is a scam, explained. Check out Climate Town here: ...",2026-01-21 22:34:25.992264
/shorts/-6Eh876TgE0,/@recommendedyt,Recommended,How to reduce your carbon footprint,1.7K,2 years,In this video we give you some tips on how to reduce your carbon footprint.,2026-01-21 22:34:25.993480
/watch?v=ju4bIogPYVA&pp=ygUQY2FyYm9uIGZvb3RwcmludA%3D%3D,/@TEDx,TEDx Talks,"""AI's Carbon Footprint and Environmental Impact"" | Tejas Chopra | TEDxCSUMontereyBay",3.5K,1 year,Tejas Chopra delves into the intricacies of artificial intelligence's relationship with the environment. Join us as we navigate the ...,2026-01-21 22:34:25.995071
/shorts/o_hTTOmfh_w,/@SGGSPodcast,Sephra's Green & Greener Show,What is Carbon Footprint? 🌎 🦶🏿,16K,2 years,"What is Carbon Footprint? To know more about Sustainability, subscribe to our channel.",2026-01-21 22:34:25.996256
/shorts/Ayvqy0-q7eQ,/@Warmingexec,Warming exec,Carbon footprint explained,933,1 year,shorts.,2026-01-21 22:34:25.999699
/watch?v=h1jOqyjcO4g&pp=ygUQY2FyYm9uIGZvb3RwcmludNIHCQmHCgGHKiGM7w%3D%3D,/@SimonClark,Simon Clark,How much progress have we made on climate change?,2.5M,10 months,"Progress is happening all over the world. I couldn't fit the entire world into my studio though, so built a model. See how I did that ...",2026-01-21 22:34:26.001213
/shorts/qVzM-mX0XT4,/@TheIndustrialInsight,The Industrial Insight,Cement Has More Carbon Emissions than all the worlds 😱,15K,6 months,facts #shorts.,2026-01-21 22:34:34.013667
/shorts/1SGvejOpL1M,/@biologyexams4u,biologyexams4u,Carbon FOOTPRINT,5.5K,1 year,carbonfootprint What is Carbon Footprint? Happy Learning✌️@biologyexams4u ...,2026-01-21 22:34:34.015078
/watch?v=0XNuj2wfnCk&pp=ygUQY2FyYm9uIGZvb3RwcmludA%3D%3D,/@NDTV,NDTV,"Carbon Footprint, Explained I And why you should consider reducing yours I The Climate Explainers",10K,2 years,"In the latest episode of #TheClimateExplainers, Anubha Bhonsle shares how we can reduce the amount of greenhouse gases we ...",2026-01-21 22:34:34.019692
/watch?v=cB7yYRdFNb8&pp=ygUQY2FyYm9uIGZvb3RwcmludA%3D%3D,/@sustainlife,Sustain Life (now part of Workiva),Webinar: How to calculate your carbon footprint | Sustain.Life,34K,3 years,The basics of why and how to track your carbon footprint using Sustain.Life's all-in-one sustainability management platform.,2026-01-21 22:34:34.021662
/watch?v=Rl84uHsfjk0&pp=ygUQY2FyYm9uIGZvb3RwcmludA%3D%3D,/@Unilever,Unilever,Clean Future: How we’re lowering the carbon footprint of our products,4.4K,5 years,"We're living on a planet that can no longer cope. Its resources are drained, waters polluted and natural habitats destroyed.",2026-01-21 22:34:34.022769
/watch?v=ilfqxt90ED4&pp=ygUQY2FyYm9uIGZvb3RwcmludA%3D%3D,/@Freesciencelessons,Freesciencelessons,"GCSE Chemistry Revision ""Carbon Footprint""",238K,8 years,Learn smarter with PLUS. Try for free: https://www.freesciencelessons.co.uk/modules/gcse-chemistry-1-triple/ If you're a teacher ...,2026-01-21 22:34:34.024512
/watch?v=A74Sf8U3v_E&pp=ygUQY2FyYm9uIGZvb3RwcmludA%3D%3D,/@Cognitoedu,Cognito,GCSE Chemistry - Carbon Footprints - Measuring Footprints | Reducing Emissions (2026/27 exams),2.8K,2 months,Check out our website https://www.cognito.org/ ⭐️ *** WHAT'S COVERED *** 1. Definition of a carbon footprint * The total ...,2026-01-21 22:34:34.026320
/watch?v=UKo944C6VJw&t=124s&pp=ygUQY2FyYm9uIGZvb3RwcmludA%3D%3D,/@TheCuriousCobra,The Curious Cobra,Why the world wants carbon credits? Carbon Trading explained,124K,2 years,"Visit https://tcc.lla.in to register in masterclass on secret tricks to crack any exam (live session)
Best bank account offer ...",2026-01-21 22:34:34.028165
/shorts/wciZYztn_hs,/@JordanHarrod,Jordan Harrod,how I (try to) decrease my AI carbon footprint #ai #climate,2.9K,11 months,Here's how I try to balance my AI use with my carbon footprint if you're not aware using AI tools using AI in general comes with a ...,2026-01-21 22:34:34.029422
/watch?v=WMph80I2OE0&pp=ygUQY2FyYm9uIGZvb3RwcmludA%3D%3D,/@TheSimpleEnvironmentalist,The Simple Environmentalist,The TRUTH about CARBON FOOTPRINTS // who coined the term carbon footprint? ⛽,2.6K,4 years,Let's dive into the history of carbon footprints and talk about the truth about carbon footprinting tools? Are carbon footprints a scam ...,2026-01-21 22:34:34.032083
/watch?v=PGYmTJIoFDQ&pp=ygUQY2FyYm9uIGZvb3RwcmludA%3D%3D,/@SustainabilityWithJack,Sustainability with Jack,How do I calculate my carbon footprint?,2K,1 year,Calculating your carbon footprint is a crucial step towards embracing sustainability and contributing to the global effort to combat ...,2026-01-21 22:34:34.033352
/shorts/bnk2pxLeW9s,/@AssociatedPress,Associated Press,Your carbon footprint is likely bigger than you think. Apps could help,6.6K,4 months,How much do everyday choices really matter for your carbon footprint? Our climate choices reporter tested three carbon-tracking ...,2026-01-21 22:34:34.034601
/watch?v=lN6dk8m4oK0&pp=ygUQY2FyYm9uIGZvb3RwcmludNIHCQmHCgGHKiGM7w%3D%3D,/@AnujRamatri,Anuj Ramatri,Know Your Carbon Footprint From This App | Anuj Ramatri - An EcoFreak,51K,3 years,This young girl has created an amazing application that can help us to cool our planet. See how this application works and how ...,2026-01-21 22:34:34.035738
/shorts/KRR6MpXn8sk,/@SciShow,SciShow,The Surprisingly Large Carbon Footprint of Rice #science #scishow #rice #climatechange,288K,2 years,"When it comes to methane emissions, there's a surprising source that's a big problem. Here's how to make farming one of the ...",2026-01-21 22:34:34.037044
/shorts/VXagmu5iJQY,/@FriedPhish_yt,Fried Phish,Nice Carbon Footprint.. JACKASS | @UniversalPictures | #dreamworks | #thebadguys2 |,3.5K,4 months,jackass.,2026-01-21 22:34:34.038255
/shorts/Kf5TypymftI,/@UNinSouthAfrica,United Nations South Africa,Climate Dictionary: What is a Carbon Footprint?,4.9K,2 years,Is it getting harder to follow what climate experts are talking about? We've compiled an index of climate change terms to keep ...,2026-01-21 22:34:34.039737
/watch?v=_e8oRgAA_hc&pp=ygUQY2FyYm9uIGZvb3RwcmludA%3D%3D,/@Medicalfuturist,The Medical Futurist,Here's How Technologies Can Reduce Healthcare's Carbon Footprint - The Medical Futurist,2.5K,3 years,"Did you know that if healthcare were a country, it would be the fifth largest emitter of carbon dioxide on the planet? The carbon ...",2026-01-21 22:34:34.040900
/watch?v=djpRUafjx7c&pp=ygUQY2FyYm9uIGZvb3RwcmludA%3D%3D,/@TonyHeller,Tony Heller,Individual Carbon Footprint Tracker,28K,3 years,"The World Economic Forum is working on an ""individual carbon footprint tracker"" to monitor people's movements, what they eat, ...",2026-01-21 22:34:34.042026
/watch?v=_OBD2qNFXpI&pp=ygUQY2FyYm9uIGZvb3RwcmludA%3D%3D,/@BBCNews,BBC News,How to reduce your carbon footprint when you fly - BBC News,45K,6 years,"Travelling by plane has never been more popular, with four billion passengers flying every year. But aviation emissions contribute ...",2026-01-21 22:34:34.043906
/watch?v=EbPPFqULmFw&pp=ygUQY2FyYm9uIGZvb3RwcmludA%3D%3D,/@No2_Co2,No2_Co2,How the carbon footprint of products is calculated?,1.3K,1 year,"Discover how the carbon footprint of products is calculated by exploring each stage of their lifecycle, from raw material extraction ...",2026-01-21 22:34:43.226426
/shorts/RjEEPxTfCe8,/@pbsvoices,PBS Voices,Your Digital Carbon Footprint,3.6K,1 year,"KJ Kearney breaks down the hidden carbon costs associated with social media usage. For more, check out more Citizen Better on ...",2026-01-21 22:34:43.227832
/watch?v=YbEFJd-fJpQ&pp=ygUQY2FyYm9uIGZvb3RwcmludA%3D%3D,/@WWFunitedkingdom,WWF UK,How to Reduce Your Carbon Footprint | Sustainability Tips | WWF,44K,4 years,Everyone has an environmental footprint. It comes from all the things you do that have an impact on our planet – the energy you ...,2026-01-21 22:34:43.231626
/watch?v=mMETVuBv02M&pp=ygUQY2FyYm9uIGZvb3RwcmludA%3D%3D,/@IITRoorkeeJuly,IIT Roorkee July 2018,Lecture 10 - Carbon Footprint and Calculation,15K,2 years,This lecture emphasizes on the definition and concept of Carbon Footprint and carbon emission. This also provides insights on ...,2026-01-21 22:34:43.233777
/shorts/pJEOZ8fEpdA,/@thesustainablesociety,The Sustainable Society,Reduce Your Carbon Footprint in 10 Easy Steps,3.3K,2 years,"shorts #shortvideo Reducing your carbon footprint is easier than you think! In this video, we share 10 simple tips to help you live a ...",2026-01-21 22:34:43.235023
/shorts/yjfUVyW2fl4,/@MictheVegan,Mic the Vegan,Vegan Diets Have Lowest Carbon Footprint in New Study,9.3K,7 months,Another recent environmental footprint study found that vegans were the winners. This one was out of Poland and had a pretty ...,2026-01-21 22:34:43.238817
/watch?v=rOjdLwy8oTQ&pp=ygUQY2FyYm9uIGZvb3RwcmludA%3D%3D,/@Thegreencompany2101,The Green Company,Your Carbon Footprint is Killing the Planet - Here’s How to Shrink it!,4.3K,1 year,"Carbon Footprint Explained! In this video, we explore the concept of a Carbon footprint, it's impact on Air Pollution and Climate ...",2026-01-21 22:34:43.240036
/shorts/yrkueU86jLE,/@EuT43,ET,What is Carbon Footprint? | Simple Explanation 👣,1.4K,9 months,"What exactly is a carbon footprint? In this video, we break down the concept in a simple and clear way, explaining how our daily ...",2026-01-21 22:34:43.241277
/shorts/eUA435Z3r6Q,/@InsideEVsUS,InsideEVs,These Are the BIGGEST Contributors to a Car's Carbon Footprint,622,3 months,Sign up for InsideEV's Newsletter to get our content sent straight to your inbox: https://www.insideEVs.com/newsletter/ Follow ...,2026-01-21 22:34:43.242429
/watch?v=V8zF6jT-ZxA&list=RDV8zF6jT-ZxA&start_radio=1&pp=ygUQY2FyYm9uIGZvb3RwcmludKAHAdIHCQmHCgGHKiGM7w%3D%3D,/channel/UCgm8Mwn5MGmbNomt8AY-Mcw,Strategy BrokeNenglish,Strategy & Dub Phizix - Carbon Footprint 👣,51K,3 years,"Brand new heater taken from Strategys forthcoming album ""Lower Broughton Health Centre"" .. produced by Dub Phizix Label: ...",2026-01-21 22:34:43.243704
/watch?v=YODeb2ggFI0&pp=ygUQY2FyYm9uIGZvb3RwcmludA%3D%3D,/@EarthScienceAnswers,Earth Science Answers,What Is The Carbon Footprint Of Data Centers? - Earth Science Answers,123,8 months,"What Is The Carbon Footprint Of Data Centers? In this informative video, we will explore the carbon footprint of data centers and ...",2026-01-21 22:34:43.247062
/shorts/1hM_p85DsLw,/@Zer0team,The Zer0,What Is Carbon Footprint? How Your Daily Life Impacts the Planet!,1.3K,5 months,"Do you know how much carbon dioxide (CO₂) your everyday habits release into the atmosphere?
From switching on the AC to ...",2026-01-21 22:34:43.248258
/watch?v=hgLnE9rQB7A&pp=ygUQY2FyYm9uIGZvb3RwcmludA%3D%3D,/@ShiftBrowser,Shift Browser,The carbon footprint of the internet—explained  | Shift browser,26K,9 months,Download Shift: https://shift.com/?utm_source=shifttips&utm_medium=youtube&utm_campaign=0331 Did you know your online ...,2026-01-21 22:34:43.249847
/shorts/GM41s4_lsEE,/@van_ai,Vancouver AI,Free Tool to Track Your Carbon Footprint!,503,10 months,"AI burns power, but most people have no clue how much. CodeCarbon changes that. Free, open-source, and built for AI devs—it ...",2026-01-21 22:34:43.252046
/watch?v=nWxly5ej25M&pp=ygUQY2FyYm9uIGZvb3RwcmludA%3D%3D,/@thesustainabilityspeaker-s7459,The Sustainability Speaker - Susanna Hasenoehrl,"Corporate Carbon Footprint - Understanding Scope 1, 2 and 3 Greenhouse Gas (GHG) Emissions",66K,4 years,What's included a company's carbon footprint? How to measure corporate Greenhouse Gas (GHG) emissions? Every business ...,2026-01-21 22:34:43.255335
/watch?v=nMn59yNwoZ8&pp=ygUQY2FyYm9uIGZvb3RwcmludNIHCQmHCgGHKiGM7w%3D%3D,/@synergyfiles3536,Synergy Files,Ecological Footprint and Carbon Footprint Explained,79K,8 years,"In this video, two indices used by environmentalist are explained, namely Ecological Footprint and Environmental footprint.",2026-01-21 22:34:43.256916
/shorts/06yj0dQ9zCM,/@PodlightStudio,Podlight Studio,How Reducing Carbon Footprint Increased Ocean Temperatures? #talkshow #movie #podcast #ai,639,10 months,"Reducing carbon emissions is crucial for fighting climate change, but could it have unexpected side effects? Some studies ...",2026-01-21 22:34:43.258082
/shorts/omIGrCoc5D8,/@OfficialPlanetMark,Planet Mark,What is a Carbon Footprint? | Planet Mark,3.5K,2 years,About Planet Mark We are a sustainability certification and net zero provider for organisations and the built environment. For over ...,2026-01-21 22:34:43.259214
/watch?v=D5tkHGCGqKc&pp=ygUQY2FyYm9uIGZvb3RwcmludA%3D%3D,/@PlanetClassroomNetwork,Planet Classroom Network,What Was Your Carbon Footprint Today?,3.3K,1 year,"Carbon footprint refers to greenhouse gas emissions released by individuals, organizations, or communities. The EPA reports that ...",2026-01-21 22:34:43.262436
